Species,Nova Scotia,New Brunswick,Prince Edward Island,Quebec,Newfoundland and Labrador,British Columbia
Cod," 14,775 ", 961 , 265 ," 1,581 "," 12,317 "," 1,519 "
Haddock," 9,407 ", 110 , -   , 0 , 259 , -   
Redfish spp.," 12,291 ", 22 , -   , 28 ," 6,410 "," 20,526 "
Halibut, 883 , 17 , 0 , 151 , 311 ," 7,296 "
Flatfishes," 6,738 ", 469 , 810 ," 1,296 "," 1,505 "," 4,391 "
Greenland turbot, 654 , 29 , -   ," 2,146 "," 13,569 "," 2,902 "
Pollock," 11,519 ", 463 , -   , -   , 623 ," 1,826 "
Hake," 19,234 "," 1,204 ", 42 , 10 , 319 ," 97,343 "
Cusk," 1,800 ", 0 , -   , -   , 1 , -   
Catfish, 614 , 2 , 0 , 4 , 236 , -   
Skate," 1,497 ", 0 , 5 , 10 ," 2,862 "," 1,531 "
Dogfish, 391 , 0 , 23 , 32 , -   ," 2,069 "
Herring," 77,084 "," 66,810 "," 15,857 "," 5,750 "," 21,049 "," 31,975 "
Mackerel," 5,668 "," 2,015 "," 6,699 "," 5,769 "," 1,155 ", 184 
Swordfish," 1,007 ", -   , -   , -   , 82 , -   
Tuna, 747 , 3 , 22 , -   , 32 , 765 
Alewife," 1,319 "," 4,238 ", 107 , 0 , -   , -   
Eel, 81 , 147 , 44 , 112 , 72 , -   
Salmon, -   , -   , -   , 30 , 48 ," 48,683 "
Smelt, 16 , 699 , 162 , 343 , 7 , 0 
Capelin, -   , 7 , -   , 484 ," 21,455 ", -   
Clams/quahaugs," 10,450 "," 1,005 "," 1,606 "," 1,270 "," 18,028 "," 2,989 "
Oyster, 82 , 351 ," 1,293 ", -   , -   , -   
Scallop," 47,035 "," 2,714 "," 1,775 "," 2,348 "," 12,154 ", 78 
Squid," 2,576 ", 448 , 2 , -   ," 12,749 ", 7 
Mussel, -   , 167 , -   , 29 , -   , -   
Lobster," 19,593 "," 7,325 "," 8,155 "," 2,827 "," 2,178 ", -   
Shrimp," 20,853 "," 3,904 ", -   ," 12,980 "," 39,174 "," 5,103 "
"Crab, Queen"," 4,118 "," 8,958 "," 1,116 "," 11,436 "," 45,789 ", -   
"Crab, Other"," 2,778 "," 1,648 "," 2,772 "," 1,058 ", 102 ," 3,873 "
Sea urchin, 853 ," 1,760 ", 30 , 159 , 877 ," 5,537 "
Seafish/Shellfish," 278,714 "," 105,731 "," 41,055 "," 50,972 "," 214,688 "," 245,951 "
,,,,,,
