Species,Nova Scotia,New Brunswick,Prince Edward Island,Quebec,Newfoundland and Labrador ,British Columbia
Cod,"18,534","1,682","2,083","5,552","53,231","1,135"
Haddock,"20,313",62,0,0,164,0
Redfish,"6,896",10,0,294,"4,467","33,396"
Halibut,"5,798",153,21,945,"1,419","40,420"
Flatfishes,"9,688",202,588,836,"6,388","6,512"
Greenland turbot,"2,974",84,0,"5,773","9,498","1,015"
Pollock,"7,504",246,0,0,477,409
Hake,"12,177",36,254,11,496,"15,823"
Cusk,"1,126",0,0,0,0,0
Catfish,158,0,0,1,105,0
Skate,337,0,2,1,682,336
Dogfish,683,6,47,63,0,"2,133"
Herring,"12,749","14,103","4,358","1,092","2,490","19,034"
Mackerel,"2,098","1,038","1,829","1,953",145,114
Swordfish,"6,499",0,0,0,"1,441",0
Tuna,"10,071",0,"1,023",0,852,"4,068"
Alewife,480,674,62,0,0,0
Eel,254,394,179,549,332,0
Salmon,0,0,0,23,0,"26,880"
Smelt,76,"1,053",303,244,1,0
Capelin,0,17,0,10,"4,096",0
Oyster,824,"1,027","7,159",0,0,0
Scallop,"70,158","5,361","1,615","4,227","4,788",194
Squid,289,0,0,0,7,23
Mussel,100,194,0,100,0,0
Lobster,"307,913","90,435","89,147","35,919","18,117",0
Shrimp,"88,021","6,723",0,"25,009","168,605","26,265"
"Crab, Queen","28,650","39,947","4,547","54,197","236,225",0
"Crab, Other","2,241","1,373","1,928",869,142,"22,515"
Sea urchin,"2,506","3,826",38,25,"1,318","9,310"
