Species,Nova Scotia,New Brunswick,Prince Edward Island,Quebec,Newfoundland and Labrador,British Columbia
Cod,"4,409",11,14,620,"12,423","1,608"
Haddock,"20,491",0,x,x,450,0
Redfish,"5,580",x,0,x,"3,235","23,585"
Halibut,"30,437","1,136",309,"3,718","7,578","51,051"
Flatfishes,"2,859",0,14,949,"10,816","6,770"
Greenland turbot,x,x,0,"9,367","54,811",0
Pollock,"3,135",0,0,0,231,"2,492"
Hake,"6,675",x,x,3,371,"9,054"
Cusk,x,0,0,0,x,0
Catfish,0,0,0,x,0,0
Skate,62,0,0,1,56,760
Dogfish,44,0,0,x,x,133
Herring,"16,098","13,210","2,246","2,127","5,673","11,579"
Mackerel,881,372,586,"1,254","1,869",0
Swordfish,"12,637",0,0,0,0,0
Tuna,"6,256",x,"2,229",x,158,"14,914"
Alewife,571,674,82,0,0,0
Eel,x,704,x,x,216,0
Salmon,0,0,0,0,0,"109,169"
Smelt,0,100,3,0,0,0
Silversides,x,0,x,0,0,0
Shark,167,x,0,x,x,0
Capelin,0,0,0,5,"9,157",0
Oyster,x,x,"3,077",0,0,0
Scallop,"162,413","9,207",x,x,"3,530",0
Squid,1,0,0,0,0,18
Mussel,x,0,0,0,0,0
Lobster,"569,782","189,714","113,286","51,110","18,464",0
Shrimp,"72,828","9,924",0,"33,724","252,637","34,905"
"Crab, Queen","111,798","63,455","9,880","91,854","256,710",0
"Crab, Other","1,338","1,426","2,102","1,365",77,"46,670"
Whelks,x,0,x,"1,278","4,100",0
Cockles,x,0,0,0,x,0
Sea cucumber,"1,636",x,0,x,x,"6,817"
Sea urchin,923,"3,654",0,"2,268",905,"5,396"
