Species,Nova Scotia,New Brunswick,Prince Edward Island,Quebec,Newfoundland and Labrador,British Columbia
Cod,"6,545",127,107,"2,455","17,603",362
Haddock,"20,189",2,0,0,348,0
Redfish,"6,025",18,0,294,"1,493","17,707"
Halibut,"1,250",41,8,292,503,"4,757"
Flatfishes,"2,038",38,126,446,"12,859","7,652"
Greenland turbot,361,31,0,"2,945","8,833",0
Pollock,"5,060",116,0,0,623,"1,312"
Hake,"14,226",14,0,20,"1,397","73,750"
Cusk,610,0,0,0,3,0
Catfish,0,0,0,3,0,0
Skate,64,0,0,4,995,933
Dogfish,"1,574",0,0,0,2,"2,152"
Herring,"50,717","45,542","12,776","2,880","28,323","11,530"
Mackerel,"1,961","1,205","1,606","1,863","23,036",1
Swordfish,"1,365",0,0,0,18,0
Tuna,728,0,186,0,1,"3,620"
Alewife,633,"2,886",163,0,0,0
Eel,20,100,44,44,45,0
Salmon,0,0,0,0,0,"5,390"
Smelt,30,542,61,161,4,0
Silversides,0,0,444,0,0,0
Shark,175,0,0,1,3,0
Capelin,0,66,0,"1,549","37,561",0
Clams / quahaugs,589,497,971,"1,304","19,336","2,258"
Oyster,27,226,"1,431",0,0,0
Scallop,"63,781","2,117",391,875,456,13
Squid,12,0,0,0,515,0
Mussel,0,85,0,42,0,0
Lobster,"33,260","9,101","9,884","3,767","2,973",0
Shrimp,"21,089","6,043",0,"21,646","117,718",575
"Crab, Queen","13,882","10,876","2,638","13,724","52,748",0
"Crab, Other","1,255","2,155","2,296","1,986",447,"6,445"
Whelks,0,0,0,"1,189","6,030",0
Cockles,0,0,0,0,125,0
Sea cucumber,"1,066","1,074",0,201,698,"1,477"
Sea urchin,381,"1,354",0,450,47,"1,925"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
