Species,Nova Scotia,New Brunswick,Prince Edward Island,Quebec,Newfoundland and Labrador,British Columbia
Cod,"3,021",13,12,831,"30,731",980
Haddock,"25,652",x,0,x,"1,184",0
Redfish,"6,539",0,0,44,"9,619","24,091"
Halibut,"41,530","1,640",670,"7,497","8,486","61,748"
Flatfishes,"1,851",x,x,"1,814","11,523","14,398"
Greenland turbot,62,0,0,"5,723","55,471",0
Pollock,"3,118",x,x,x,446,"1,489"
Hake,"7,479",0,x,x,291,"33,483"
Cusk,x,x,0,0,0,0
Catfish,0,0,0,0,0,0
Skate,x,0,0,x,100,570
Dogfish,41,0,0,0,0,11
Herring,"22,328","15,453","1,984","2,187","7,609","17,286"
Mackerel,"3,112",436,"4,242","1,281","1,749",0
Swordfish,"12,846",0,0,0,157,0
Tuna,"8,306",x,"2,080",x,245,"16,275"
Alewife,935,581,126,0,0,0
Eel,109,469,516,0,261,0
Salmon,0,0,0,0,0,"46,255"
Smelt,x,x,5,0,0,0
Silversides,0,0,382,0,0,0
Shark,330,x,0,x,9,0
Capelin,x,0,0,x,"6,939",0
Oyster,215,342,"4,402",0,0,0
Scallop,"157,676","12,143",0,"2,467","3,447",0
Squid,2,0,0,0,517,0
Mussel,0,0,0,0,0,0
Lobster,"802,026","286,826","211,141","117,069","44,599",0
Shrimp,"64,142","9,735",0,"27,595","214,206","23,866"
"Crab, Queen","177,508","209,561","45,663","209,960","325,261",0
"Crab, Other","2,182","2,384","1,858","1,305",458,"51,059"
Whelks,x,0,0,x,"1,896",0
Cockles,x,0,0,0,x,0
Sea cucumber,"2,001",x,0,x,"4,069","8,609"
Sea urchin,591,"2,588",0,"3,760","1,079","7,398"
