Species,Nova Scotia,New Brunswick,Prince Edward Island,Quebec,Newfoundland and Labrador,British Columbia
Cod," 33,793 ", 878 , 817 ," 4,088 "," 37,068 "," 8,123 "
Haddock," 12,189 ", 5 , -   , 0 , 787 , -   
Redfish," 38,179 "," 3,011 "," 5,243 "," 11,975 "," 26,278 "," 24,643 "
Halibut," 1,168 ", 9 , 1 , 112 , 170 ," 6,379 "
Flatfishes," 10,817 "," 1,013 ", 933 ," 1,302 "," 22,067 "," 10,024 "
Greenland turbot," 5,766 ", 54 , -   ," 2,435 "," 8,038 "," 4,132 "
Pollock," 20,473 ", 557 , -   , 1 , 548 ," 8,121 "
Hake," 33,876 ", 117 , 568 , 327 ," 1,051 "," 62,571 "
Cusk," 2,957 ", 0 , -   , -   , -   , -   
Catfish, 666 , 5 , 0 , 10 , 393 , -   
Skate, 238 , 1 , 8 , 0 , 76 , 249 
Dogfish, 728 , 225 , 317 , 165 , 1 , 830 
Herring," 89,393 "," 79,812 "," 5,539 "," 5,489 "," 21,688 "," 41,048 "
Mackerel," 7,157 "," 2,046 "," 4,651 "," 3,175 "," 9,683 ", 20 
Swordfish," 2,076 ", -   , -   , -   , 133 , -   
Tuna, 596 , 8 , 17 , -   , 28 , 551 
Alewife," 2,031 "," 4,541 ", 200 , -   , -   , -   
Eel, 159 , 204 , 74 , 311 , 116 , -   
Salmon, -   , -   , -   , 49 , 112 ," 84,989 "
Smelt, 52 , 733 , 180 , 144 , 26 , -   
Capelin, -   , -   , -   ," 1,499 "," 48,221 ", -   
Clams/quahaugs," 8,008 "," 1,404 "," 1,415 ", 418 ," 13,491 "," 3,830 "
Oyster, 23 , 363 ," 1,205 ", -   , -   , -   
Scallop," 77,731 "," 4,969 "," 1,261 "," 2,451 "," 4,520 ", 90 
Squid," 2,515 ", -   , -   , -   , 287 , 13 
Mussel, 1 , 83 ," 4,788 ", 33 , 33 , -   
Lobster," 18,041 "," 7,919 "," 8,905 "," 3,588 "," 2,608 ", -   
Shrimp," 7,736 "," 2,500 ", -   ," 9,573 "," 23,135 "," 4,498 "
"Crab, Queen"," 5,132 "," 8,810 ", 905 ," 10,330 "," 22,922 ", -   
"Crab, Other", 456 , 404 ," 1,334 ", -   , -   ," 6,306 "
Sea urchin, 129 , 960 , -   , -   , 62 ," 7,102 "
Seafish/Shellfish," 386,150 "," 120,978 "," 38,469 "," 58,533 "," 244,818 "," 285,674 "
,,,,,,
