Species,Nova Scotia,New Brunswick,Prince Edward Island,Quebec,Newfoundland and Labrador,British Columbia,,,
Cod,"1,480",x,x,477,"10,271","1,460",,,
Haddock,"17,460",x,0,x,229,0,,,
Redfish,"5,972",x,0,x,"4,253","17,253",,,
Halibut,"2,718",63,41,475,645,"3,710",,,
Flatfishes,"1,742",1,30,374,"6,977","13,492",,,
Greenland turbot,x,x,0,"2,969","11,052",0,,,
Pollock,"3,855",0,0,0,191,"4,531",,,
Hake,"7,848",x,x,x,230,"41,604",,,
Cusk,x,0,0,0,x,0,,,
Catfish,0,0,0,x,0,0,,,
Skate,x,0,0,x,179,536,,,
Dogfish,x,0,0,x,x,365,,,
Herring,"46,576","27,999","5,295","7,516","26,813","20,129",,,
Mackerel,"1,183",571,643,"1,045",701,0,,,
Swordfish,"1,579",0,0,0,0,0,,,
Tuna,650,3,187,11,27,"4,298",,,
Alewife,434,x,x,0,0,0,,,
Eel,21,93,96,0,30,0,,,
Salmon ,0,0,0,0,0,"20,064",,,
Smelt,0,112,2,0,0,0,,,
Silversides,0,0,254,0,0,0,,,
Shark,89,0,0,0,1,0,,,
Capelin,0,x,0,x,"36,500",0,,,
Clams / quahaug,"16,433",586,470,"1,051","12,752","1,832",,,
Oyster,48,x,x,0,0,0,,,
Scallop,"55,297","3,503",290,588,"1,382",0,,,
Squid,x,0,0,0,x,16,,,
Mussel,0,0,0,0,0,0,,,
Lobster,"49,255","18,354","14,615","5,900","2,751",0,,,
Shrimp,"25,711","5,556",0,"18,371","84,965","6,168",,,
"Crab, Queen","17,623","11,600","2,431","14,767","47,099",0,,,
"Crab, Other",761,"1,451","1,699","1,106",150,"4,261",,,
Whelks,x,0,x,937,"2,564",0,,,
Cockles,x,0,0,0,x,0,,,
Sea cucumber,"2,551",x,0,x,"2,297","1,692",,,
Sea urchin,x,996,0,x,508,"4,069",,,
