Species,Nova Scotia,New Brunswick,Prince Edward Island,Quebec,Newfoundland and Labrador,British Columbia
Cod,"15,897","1,847","1,130","3,420","27,199",963
Haddock,"27,634",38,0,0,308,0
Redfish,"5,612",14,0,256,"4,385","23,922"
Halibut,"8,088",271,56,950,"2,542","43,023"
Flatfishes,"6,045",88,359,519,"11,417","9,563"
Greenland turbot,"1,385",67,0,"2,397","11,746",0
Pollock,"6,056",53,0,0,229,331
Hake,"13,584",43,17,9,833,"12,024"
Cusk,"1,275",1,0,0,0,0
Catfish,85,0,0,8,217,0
Skate,213,0,0,2,651,"1,205"
Dogfish,"1,566",90,0,17,53,"1,317"
Herring,"15,387","14,720","5,297","1,428","3,342","37,107"
Mackerel,"2,254","1,475","3,410","1,728","5,039",0
Swordfish,"7,254",0,0,0,309,0
Tuna,"11,980",41,"2,264",0,"1,037","8,094"
Alewife,707,"1,229",58,0,0,0
Eel,620,531,297,157,265,0
Salmon,0,0,0,0,0,"57,294"
Smelt,34,412,174,62,7,0
Capelin,0,0,0,10,"1,735",0
Oyster,208,820,"5,370",0,0,0
Scallop,"124,458","3,542",509,"1,472","1,058",261
Squid,32,0,0,0,96,0
Mussel,121,221,0,115,0,0
Lobster,"376,288","95,497","102,396","43,920","23,483",0
Shrimp,"67,224","7,586",0,"22,039","151,643","22,972"
"Crab, Queen","89,593","65,817","12,614","89,688","229,240",0
"Crab, Other","3,904","3,001","1,930","1,680",912,"28,166"
Sea urchin,783,"3,473",0,50,"1,512","7,581"
